Material,Hf (eV/atom),Ecoh (eV/atom),(ρ0 × λ)⊥τ (10^-16 m2),(ρ0 × λ)⊥λ (10^-16 m2),n,adirection,bdirection,TM_Z,TM_row,TM_group,TM_atomic_radius_calculated,TM_mendeleev_no,TM_electrical_resistivity,TM_poissons_ratio,TM_molar_volume,TM_thermal_conductivity,TM_boiling_point,TM_melting_point,TM_liquid_range,TM_bulk_modulus,TM_youngs_modulus,TM_brinell_hardness,TM_rigidity_modulus,TM_mineral_hardness,TM_vickers_hardness,TM_density_of_solid,TM_coefficient_of_linear_thermal_expansion,TM_ionization_energies,TM_atomic_mass,TM_atomic_radius,TM_average_anionic_radius,TM_average_cationic_radius,TM_average_ionic_radius,TM_electron_affinity,A_Z,A_row,A_group,A_atomic_radius_calculated,A_mendeleev_no,A_electrical_resistivity,A_molar_volume,A_thermal_conductivity,A_boiling_point,A_melting_point,A_liquid_range,A_mineral_hardness,A_density_of_solid,A_ionization_energies,A_atomic_mass,A_atomic_radius,A_average_anionic_radius,A_average_cationic_radius,A_average_ionic_radius,A_electron_affinity,X_Z,X_row,X_group,X_atomic_radius_calculated,X_mendeleev_no,X_refractive_index,X_molar_volume,X_thermal_conductivity,X_boiling_point,X_melting_point,X_liquid_range,X_ionization_energies,X_atomic_mass,X_atomic_radius,X_average_anionic_radius,X_average_cationic_radius,X_average_ionic_radius,X_electron_affinity,mean_Z,stddev_Z,mean_row,stddev_row,mean_group,stddev_group,mean_atomic_radius_calculated,stddev_atomic_radius_calculated,mean_mendeleev_no,stddev_mendeleev_no,mean_molar_volume,stddev_molar_volume,mean_thermal_conductivity,stddev_thermal_conductivity,mean_boiling_point,stddev_boiling_point,mean_melting_point,stddev_melting_point,mean_liquid_range,stddev_liquid_range,mean_ionization_energies,stddev_ionization_energies,mean_atomic_mass,stddev_atomic_mass,mean_atomic_radius,stddev_atomic_radius,mean_average_anionic_radius,stddev_average_anionic_radius,mean_average_cationic_radius,stddev_average_cationic_radius,mean_average_ionic_radius,stddev_average_ionic_radius,mean_electron_affinity,stddev_electron_affinity
V2SiC,-0.545,8.4,3.4,2.7,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,16.5,7.088723439378913,3.25,0.82915619758885,9.5,4.5,1.3,0.43852023898561393,72.0,18.34393632784414,8.4975,2.400128902788348,88.0,57.109543860899464,3708.25,399.4548629069372,2463.25,797.8948473953194,1245.0,430.1493926532967,8.2260855,1.8433746316227335,35.4948,16.459053443925626,1.125,0.26575364531836626,0.0,0.0,0.5987499999999999,0.19786753776200883,0.5987499999999999,0.19786753776200883,0.9267397230000001,0.40161190000797353
V2SiN,-2.706,6.3,2.0,3.3,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,16.75,6.722164829874376,3.25,0.82915619758885,9.75,4.763139720814412,1.2725,0.4787679500551389,73.25,19.967160539245434,10.56,2.300304327692316,53.0064575,57.40919464770359,2652.59,1501.1477889601676,1529.0125,870.2593581621229,1123.5775,640.4516340198923,9.044546,3.2209334971702686,35.9938,15.75469172881526,1.1125,0.2858649156507318,0.33,0.5715767664977295,0.595,0.2035543539205192,0.6812499999999999,0.10137338161470197,0.59371132,0.5202286117843454
V2GaC,-0.532,7.7,3.1,5.2,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,20.75,9.12071817347735,3.5,0.8660254037844386,9.25,4.264680527307995,1.3625,0.4245806754905362,71.0,17.705931209625774,8.432500000000001,2.3043803397008924,57.75,47.49407857828174,3534.25,660.8019275849609,2117.2275,1238.1562220773071,1417.0225,597.2592121673387,7.687990999999999,2.08488404616192,45.904174999999995,21.016977412722195,1.175,0.275,0.0,0.0,0.6537499999999999,0.20436257607497513,0.6537499999999999,0.20436257607497513,0.654659678,0.3626947989455604
V2GaN,-2.709,5.7,2.4,4.4,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,21.0,8.717797887081348,3.5,0.8660254037844386,9.5,4.55521678957215,1.335,0.4697073557013984,72.25,19.447043477094404,10.495000000000001,2.2603263038773846,22.7564575,13.148909036415104,2478.59,1470.7719076389785,1182.99,1003.5993237094174,1295.6000000000001,789.7108116582931,8.506451499999999,3.4934141228400404,46.403175,20.214713812391086,1.1625,0.29659526294261684,0.33,0.5715767664977295,0.65,0.2108539186261427,0.73625,0.06175809663517812,0.32163127499999994,0.24427943369055216
V2GeC,-0.496,8.1,2.8,3.6,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.0,9.40744386111339,3.5,0.8660254037844386,9.5,4.5,1.335,0.42740496019583113,71.75,18.171062159378575,8.89,3.0032232684234454,65.5,44.612218057388716,3688.25,426.81868222935134,2344.35,929.3223700632628,1343.9,511.90031256095165,8.16302425,1.8491469395206772,46.633425,21.864320536364147,1.1625,0.2701272848121789,0.0,0.0,0.65625,0.20570382227853715,0.65625,0.20570382227853715,0.88752850625,0.3600169730807174
V2AsN,-2.676,6.1,2.5,4.2,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,33.0,4.0,15.0,1.14,89.0,3.3e-07,12.95,50.0,887.0,1090.0,203.0,3.5,5727.0,9.78855,74.9216,1.15,0.0,0.6599999999999999,0.6599999999999999,0.80482,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,21.5,9.313968005098578,3.5,0.8660254037844386,10.0,5.0,1.2799999999999998,0.4763926951581017,74.25,20.620075169601105,10.782499999999999,2.4713192327176183,28.0064575,17.92033775066527,2081.09,1624.3314945847721,1379.7625,881.4866812486449,802.8275,697.3707401868464,9.453763499999999,3.1852843978838448,47.702825,21.778823338437615,1.125,0.28613807855649,0.33,0.5715767664977295,0.625,0.20207517165649025,0.7112499999999999,0.06709368450159821,0.447536,0.319505758830729
V2CdC,-0.311,7.0,8.1,12.4,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,48.0,5.0,12.0,1.61,75.0,7e-08,13.0,97.0,1040.0,594.22,445.78,2.0,8650.0,8.99382,112.411,1.55,0.0,1.09,1.09,-0.72,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,25.0,14.983324063771697,3.75,1.0897247358851685,9.0,4.06201920231798,1.425,0.4378070351193548,69.5,17.03672503740082,8.7325,2.756931038310534,74.75,46.31616888301536,3175.0,1258.362030577846,2190.0550000000003,1133.43634540057,984.9449999999999,512.4136991484518,8.4366205,1.870741849454448,56.57617499999999,35.941300649348726,1.2375,0.32088744132483593,0.0,0.0,0.73625,0.28233678913666216,0.73625,0.28233678913666216,0.399359403,0.7124312968675683
V2CdN,-2.52,5.0,4.2,4.5,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,48.0,5.0,12.0,1.61,75.0,7e-08,13.0,97.0,1040.0,594.22,445.78,2.0,8650.0,8.99382,112.411,1.55,0.0,1.09,1.09,-0.72,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,25.25,14.669270602180601,3.75,1.0897247358851685,9.25,4.380353866983808,1.3975,0.4852512235945418,70.75,18.93904696651867,10.795,2.482352714664054,39.7564575,35.386074292692015,2119.34,1597.3396967458111,1255.8175,946.0100868483116,863.5224999999999,651.5861709081539,9.255080999999999,3.1829904909139297,57.075174999999994,35.327719305339755,1.225,0.3418698582794336,0.33,0.5715767664977295,0.7325,0.28814601333351814,0.81875,0.1677842736969112,0.06633099999999999,0.5154015828080081
V2InC,-0.361,7.5,3.7,3.9,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,25.25,15.368392889303683,3.75,1.0897247358851685,9.25,4.264680527307995,1.4125,0.4330343519860751,70.5,17.44276354251241,9.4225,3.862398056907133,71.0,44.94997219131509,3501.25,713.9360528086531,2148.9375,1192.050077269722,1352.3125,520.8656669130247,7.634754425,2.1295642563430763,57.177925,36.878999626371034,1.2375,0.32088744132483593,0.0,0.0,0.69875,0.23958623186652442,0.69875,0.23958623186652442,0.6753409029999999,0.34381789311358746
V2SnN,-2.527,5.7,2.3,4.3,2,0,0,23.0,4.0,5.0,1.71,54.0,2e-07,0.37,8.32,31.0,3680.0,2183.0,1497.0,160.0,128.0,628.0,47.0,7.0,628.0,6110.0,8.4e-06,6.746187,50.9415,1.35,0.0,0.7775,0.7775,0.527662,50.0,5.0,14.0,1.45,83.0,1.15e-07,16.29,67.0,2875.0,505.08,2369.92,1.5,7310.0,7.343918,118.71,1.45,0.0,0.83,0.83,1.1120702,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,25.75,15.449514555480375,3.75,1.0897247358851685,9.75,4.763139720814412,1.3575,0.47251322732808226,72.75,19.68978161382193,11.6175,3.4378508911818724,32.2564575,23.712256669240038,2578.09,1480.7276401485858,1233.5325,962.2433936737368,1344.5575000000001,846.6705527055668,8.8426055,3.295051456769719,58.649924999999996,37.81226579883669,1.2000000000000002,0.32015621187164245,0.33,0.5715767664977295,0.6675,0.2218741197165636,0.7537499999999999,0.07459264373917845,0.52434855,0.4179380619983151
Cr2AlC,-0.188,6.4,2.4,3.4,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,16.75,7.660776723022281,3.25,0.82915619758885,9.75,3.766629793329841,1.2925,0.40935162146985565,72.25,16.145819892467525,7.4375,1.678114641495032,140.75,57.56463758246029,3245.0,612.257298854003,2273.3675000000003,1017.7631208531532,971.6324999999999,523.2702219396303,7.69476925,2.08308282849739,35.746109649999994,17.090287809849762,1.1875,0.2880429655450728,0.0,0.0,0.7137499999999999,0.26223498527084443,0.7137499999999999,0.26223498527084443,0.761657753,0.3054952664263108
