semicore,predict
Nb,Y
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Mo
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Y
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Y
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Y
Mo,Y
Mo,Mo
Mo,Hg
Mo,Hg
Mo,Y
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Hg
Mo,Y
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Y
Mo,Mo
