Growth Temperature (°C),TDMAT Pressure (Torr),N2 Gas Flow (sccm),N2 Plasma RF Power (W),log10 Normalized XRD Intensity (Inorm = ITiN(002)/ISTO(002)d)
600.0,1.7,3.5,200.0,-4.19569849975838
600.0,1.7,3.5,300.0,-4.02686875765548
600.0,1.7,3.5,400.0,-4.039081412453136
600.0,1.7,3.5,500.0,-4.225883164929739
600.0,1.7,4.0,0.0,-6.056111592781695
600.0,1.7,4.0,100.0,-4.657915598702522
600.0,1.7,4.0,200.0,-4.165788040963095
600.0,1.7,4.0,300.0,-3.9958339512033225
600.0,1.7,4.0,400.0,-4.076159146136412
600.0,1.7,4.0,500.0,-4.28170265149337
600.0,1.7,4.5,0.0,-6.025053845735717
600.0,1.7,4.5,100.0,-4.63130410949343
600.0,1.7,4.5,200.0,-4.2070127550572645
600.0,1.7,4.5,300.0,-4.051653437766952
600.0,1.7,4.5,400.0,-4.060264403166045
600.0,1.7,4.5,500.0,-4.099797842336851
600.0,2.0,0.0,0.0,-6.815683327158042
600.0,2.0,0.0,100.0,-6.47903899488866
600.0,2.0,0.0,200.0,-5.446069084834109
600.0,2.0,0.0,300.0,-5.355317334872195
600.0,2.0,0.0,400.0,-5.328183543831244
600.0,2.0,0.0,500.0,-5.395712371669705
600.0,2.0,0.5,0.0,-6.815683327158042
600.0,2.0,0.5,100.0,-6.338059839674184
600.0,2.0,0.5,200.0,-5.396563936030137
600.0,2.0,0.5,300.0,-5.343471703925579
600.0,2.0,0.5,400.0,-5.271171336098265
600.0,2.0,0.5,500.0,-5.412867410352655
600.0,2.0,1.0,0.0,-6.674704171943565
600.0,2.0,1.0,100.0,-6.325012451275739
600.0,2.0,1.0,200.0,-5.3358587576658
600.0,2.0,1.0,300.0,-5.295813913959686
600.0,2.0,1.0,400.0,-5.122491389460336
600.0,2.0,1.0,500.0,-4.847284703965489
600.0,2.0,1.5,0.0,-6.620012042228
600.0,2.0,1.5,100.0,-6.281886037886177
600.0,2.0,1.5,200.0,-5.189500120960332
600.0,2.0,1.5,300.0,-4.648165738385349
600.0,2.0,1.5,400.0,-4.659222702277077
600.0,2.0,1.5,500.0,-4.8109351285585715
600.0,2.0,2.0,0.0,-6.543325161611512
600.0,2.0,2.0,100.0,-5.824294976499406
600.0,2.0,2.0,200.0,-4.739660750653755
600.0,2.0,2.0,300.0,-4.616702052698311
600.0,2.0,2.0,400.0,-4.35042143710813
600.0,2.0,2.0,500.0,-4.340605645891112
600.0,2.0,2.5,0.0,-6.276053038642978
600.0,2.0,2.5,100.0,-5.81371922475688
600.0,2.0,2.5,200.0,-4.451817857182522
600.0,2.0,2.5,300.0,-4.101607486414709
600.0,2.0,2.5,400.0,-4.06933825709243
600.0,2.0,2.5,500.0,-4.291524466546304
600.0,2.0,3.0,0.0,-6.124053258993207
600.0,2.0,3.0,100.0,-5.528475188819347
600.0,2.0,3.0,200.0,-4.216099291128174
600.0,2.0,3.0,300.0,-4.046416557227199
600.0,2.0,3.0,400.0,-4.051900992391088
600.0,2.0,3.0,500.0,-4.258787599546086
600.0,2.0,3.5,0.0,-6.061705715733236
600.0,2.0,3.5,100.0,-5.505675444989776
600.0,2.0,3.5,200.0,-4.178607620901047
600.0,2.0,3.5,300.0,-4.014049177717528
600.0,2.0,3.5,400.0,-4.0193145929165
600.0,2.0,3.5,500.0,-4.297090863508427
600.0,2.0,4.0,0.0,-6.0321216388675305
600.0,2.0,4.0,100.0,-5.472484427775598
600.0,2.0,4.0,200.0,-4.147572814448889
600.0,2.0,4.0,300.0,-4.052678504423233
600.0,2.0,4.0,400.0,-4.075134079480131
600.0,2.0,4.0,500.0,-4.255265915250406
600.0,2.0,4.5,0.0,-6.014734747574165
600.0,2.0,4.5,100.0,-5.479817294018201
600.0,2.0,4.5,200.0,-4.203392301012519
600.0,2.0,4.5,300.0,-4.017855800806157
600.0,2.0,4.5,400.0,-3.895648088830603
600.0,2.0,4.5,500.0,-4.099422076539026
600.0,2.3,0.0,0.0,-6.815683327158042
600.0,2.3,0.0,100.0,-6.521292853913907
600.0,2.3,0.0,200.0,-5.396563936030137
600.0,2.3,0.0,300.0,-5.36338447293329
600.0,2.3,0.0,400.0,-5.316337912884626
600.0,2.3,0.0,500.0,-5.352892652637181
600.0,2.3,0.5,0.0,-6.674704171943565
600.0,2.3,0.5,100.0,-6.380313698699432
600.0,2.3,0.5,200.0,-5.383516547631694
600.0,2.3,0.5,300.0,-5.303881052020782
600.0,2.3,0.5,400.0,-5.271171336098265
600.0,2.3,0.5,500.0,-5.206036958249745
600.0,2.3,1.0,0.0,-6.661656783545121
600.0,2.3,1.0,100.0,-6.324139896911427
600.0,2.3,1.0,200.0,-5.3358587576658
600.0,2.3,1.0,300.0,-5.163709755345074
600.0,2.3,1.0,400.0,-4.6622364315749865
600.0,2.3,1.0,500.0,-4.772821367442558
600.0,2.3,1.5,0.0,-6.620012042228
600.0,2.3,1.5,100.0,-6.228105570355443
600.0,2.3,1.5,200.0,-4.739660750653755
600.0,2.3,1.5,300.0,-4.683433647970596
600.0,2.3,1.5,400.0,-4.62509946055977
600.0,2.3,1.5,500.0,-4.469877498251248
600.0,2.3,2.0,0.0,-6.276053038642978
600.0,2.3,2.0,100.0,-5.824294976499406
600.0,2.3,2.0,200.0,-4.710603815055026
600.0,2.3,2.0,300.0,-4.338565867063289
600.0,2.3,2.0,400.0,-4.135564686207609
600.0,2.3,2.0,500.0,-4.2127171464660496
600.0,2.3,2.5,0.0,-6.268829792884518
600.0,2.3,2.5,100.0,-5.616002238424569
600.0,2.3,2.5,200.0,-4.272377308489631
600.0,2.3,2.5,300.0,-4.069723469148341
600.0,2.3,2.5,400.0,-4.074832008751263
600.0,2.3,2.5,500.0,-4.197143842961109
600.0,2.3,3.0,0.0,-6.065976609637978
600.0,2.3,3.0,100.0,-5.512618709469347
600.0,2.3,3.0,200.0,-4.19569849975838
600.0,2.3,3.0,300.0,-4.02607972036035
600.0,2.3,3.0,400.0,-4.042095141751046
600.0,2.3,3.0,500.0,-4.165389388917405
600.0,2.3,3.5,0.0,-6.056111592781695
600.0,2.3,3.5,100.0,-5.481685491075611
600.0,2.3,3.5,200.0,-4.165788040963095
600.0,2.3,3.5,300.0,-3.9950449139081927
600.0,2.3,3.5,400.0,-4.079172875434322
600.0,2.3,3.5,500.0,-4.287089356759481
600.0,2.3,4.0,0.0,-6.025053845735717
600.0,2.3,4.0,100.0,-5.4591558277909
600.0,2.3,4.0,200.0,-4.168234280676192
600.0,2.3,4.0,300.0,-4.050864400471823
600.0,2.3,4.0,400.0,-4.044031433999316
600.0,2.3,4.0,500.0,-4.116004552239793
600.0,2.3,4.5,0.0,-6.035396213801467
600.0,2.3,4.5,100.0,-5.5160003810108105
600.0,2.3,4.5,200.0,-4.1708027791407885
600.0,2.3,4.5,300.0,-3.8180339184819174
600.0,2.3,4.5,400.0,-3.8884966689443714
600.0,2.3,4.5,500.0,-4.10913080378846
600.0,2.6,0.0,0.0,-6.815683327158042
600.0,2.6,0.0,100.0,-6.431324083766139
600.0,2.6,0.0,200.0,-5.396563936030137
600.0,2.6,0.0,300.0,-5.351538841986674
600.0,2.6,0.0,400.0,-5.271171336098265
600.0,2.6,0.0,500.0,-5.352892652637181
600.0,2.6,0.5,0.0,-6.674704171943565
600.0,2.6,0.5,100.0,-6.418276695367695
600.0,2.6,0.5,200.0,-5.3358587576658
600.0,2.6,0.5,300.0,-5.303881052020782
600.0,2.6,0.5,400.0,-5.125505118758246
600.0,2.6,0.5,500.0,-4.772821367442558
600.0,2.6,1.0,0.0,-6.620012042228
600.0,2.6,1.0,100.0,-6.375150281978134
600.0,2.6,1.0,200.0,-5.189500120960332
600.0,2.6,1.0,300.0,-4.683433647970596
600.0,2.6,1.0,400.0,-4.6622364315749865
600.0,2.6,1.0,500.0,-4.736471792035642
600.0,2.6,1.5,0.0,-6.597433243826917
600.0,2.6,1.5,100.0,-5.93910846350314
600.0,2.6,1.5,200.0,-4.739660750653755
600.0,2.6,1.5,300.0,-4.651969962283558
600.0,2.6,1.5,400.0,-4.355006875751645
600.0,2.6,1.5,500.0,-4.266142309368181
600.0,2.6,2.0,0.0,-6.276053038642978
600.0,2.6,2.0,100.0,-5.85877450652548
600.0,2.6,2.0,200.0,-4.451817857182522
600.0,2.6,2.0,300.0,-4.182840600618497
600.0,2.6,2.0,400.0,-4.101757452725338
600.0,2.6,2.0,500.0,-4.217061130023373
600.0,2.6,2.5,0.0,-6.124053258993207
600.0,2.6,2.5,100.0,-5.591856254466628
600.0,2.6,2.5,200.0,-4.216099291128174
600.0,2.6,2.5,300.0,-4.101971689681095
600.0,2.6,2.5,400.0,-4.056486431034605
600.0,2.6,2.5,500.0,-4.184324263023157
600.0,2.6,3.0,0.0,-6.061705715733236
600.0,2.6,3.0,100.0,-5.575284732099285
600.0,2.6,3.0,200.0,-4.178607620901047
600.0,2.6,3.0,300.0,-4.069604310171423
600.0,2.6,3.0,400.0,-4.023900031560017
600.0,2.6,3.0,500.0,-4.222233942137315
600.0,2.6,3.5,0.0,-6.0321216388675305
600.0,2.6,3.5,100.0,-5.542093714885109
600.0,2.6,3.5,200.0,-4.147572814448889
600.0,2.6,3.5,300.0,-4.072050549884519
600.0,2.6,3.5,400.0,-4.078147808778041
600.0,2.6,3.5,500.0,-4.192447714135368
600.0,2.6,4.0,0.0,-6.0302093325962165
600.0,2.6,4.0,100.0,-5.550409829597379
600.0,2.6,4.0,200.0,-4.203392301012519
600.0,2.6,4.0,300.0,-4.073410933260052
600.0,2.6,4.0,400.0,-3.895648088830603
600.0,2.6,4.0,500.0,-4.039044685634125
600.0,2.6,4.5,0.0,-6.071579300794078
600.0,2.6,4.5,100.0,-5.563496609058639
600.0,2.6,4.5,200.0,-3.9727455054330454
600.0,2.6,4.5,300.0,-3.8732175341173134
600.0,2.6,4.5,400.0,-3.888774340379269
600.0,2.6,4.5,500.0,-4.044769780383836
600.0,2.9000000000000004,0.0,0.0,-6.674704171943565
600.0,2.9000000000000004,0.0,100.0,-6.431324083766139
600.0,2.9000000000000004,0.0,200.0,-5.4067330396057764
600.0,2.9000000000000004,0.0,300.0,-5.303881052020782
600.0,2.9000000000000004,0.0,400.0,-5.271171336098265
600.0,2.9000000000000004,0.0,500.0,-5.206036958249745
600.0,2.9000000000000004,0.5,0.0,-6.661656783545121
600.0,2.9000000000000004,0.5,100.0,-6.375150281978134
600.0,2.9000000000000004,0.5,200.0,-5.344362974262079
600.0,2.9000000000000004,0.5,300.0,-5.163709755345074
600.0,2.9000000000000004,0.5,400.0,-4.6622364315749865
600.0,2.9000000000000004,0.5,500.0,-4.772821367442558
600.0,2.9000000000000004,1.0,0.0,-6.620012042228
600.0,2.9000000000000004,1.0,100.0,-6.342471108869915
600.0,2.9000000000000004,1.0,200.0,-4.739660750653755
600.0,2.9000000000000004,1.0,300.0,-4.683433647970596
600.0,2.9000000000000004,1.0,400.0,-4.62509946055977
600.0,2.9000000000000004,1.0,500.0,-4.469877498251248
600.0,2.9000000000000004,1.5,0.0,-6.276053038642978
600.0,2.9000000000000004,1.5,100.0,-5.93910846350314
600.0,2.9000000000000004,1.5,200.0,-4.710603815055026
600.0,2.9000000000000004,1.5,300.0,-4.371698074998894
600.0,2.9000000000000004,1.5,400.0,-4.1623835028364224
600.0,2.9000000000000004,1.5,500.0,-4.237064790067885
600.0,2.9000000000000004,2.0,0.0,-6.268829792884518
600.0,2.9000000000000004,2.0,100.0,-5.751896629397693
600.0,2.9000000000000004,2.0,200.0,-4.272377308489631
600.0,2.9000000000000004,2.0,300.0,-4.121444430960719
600.0,2.9000000000000004,2.0,400.0,-4.07640371809687
600.0,2.9000000000000004,2.0,500.0,-4.197143842961109
600.0,2.9000000000000004,2.5,0.0,-6.065976609637978
600.0,2.9000000000000004,2.5,100.0,-5.6703238188611635
600.0,2.9000000000000004,2.5,200.0,-4.19569849975838
600.0,2.9000000000000004,2.5,300.0,-4.082423890109376
600.0,2.9000000000000004,2.5,400.0,-4.043666851096653
600.0,2.9000000000000004,2.5,500.0,-4.165389388917405
600.0,2.9000000000000004,3.0,0.0,-6.056111592781695
600.0,2.9000000000000004,3.0,100.0,-5.639390600467427
600.0,2.9000000000000004,3.0,200.0,-4.165788040963095
600.0,2.9000000000000004,3.0,300.0,-4.0513890836572175
600.0,2.9000000000000004,3.0,400.0,-4.044561497787319
600.0,2.9000000000000004,3.0,500.0,-4.221208875481034
600.0,2.9000000000000004,3.5,0.0,-6.025053845735717
600.0,2.9000000000000004,3.5,100.0,-5.635345024027915
600.0,2.9000000000000004,3.5,200.0,-4.168234280676192
600.0,2.9000000000000004,3.5,300.0,-4.107208570220847
600.0,2.9000000000000004,3.5,400.0,-4.050446928884412
600.0,2.9000000000000004,3.5,500.0,-4.046196105520356
600.0,2.9000000000000004,4.0,0.0,-6.035396213801467
600.0,2.9000000000000004,4.0,100.0,-5.675769204913391
600.0,2.9000000000000004,4.0,200.0,-4.171442042829215
600.0,2.9000000000000004,4.0,300.0,-3.875969364586104
600.0,2.9000000000000004,4.0,400.0,-3.8888229532424714
600.0,2.9000000000000004,4.0,500.0,-4.039322357069022
600.0,2.9000000000000004,4.5,0.0,-6.049730085032303
600.0,2.9000000000000004,4.5,100.0,-5.317254214723427
600.0,2.9000000000000004,4.5,200.0,-3.969993674964255
600.0,2.9000000000000004,4.5,300.0,-3.873495205552211
600.0,2.9000000000000004,4.5,400.0,-3.895015365019707
600.0,2.9000000000000004,4.5,500.0,-4.055080630147203
600.0,3.2,0.0,0.0,-6.674704171943565
600.0,3.2,0.0,100.0,-6.661656783545121
600.0,3.2,0.0,200.0,-5.359075249639884
600.0,3.2,0.0,300.0,-5.303881052020782
600.0,3.2,0.0,400.0,-5.125505118758246
600.0,3.2,0.0,500.0,-4.689671291347588
600.0,3.2,0.5,0.0,-6.620012042228
600.0,3.2,0.5,100.0,-6.620012042228
600.0,3.2,0.5,200.0,-5.314286793893038
600.0,3.2,0.5,300.0,-4.683433647970596
600.0,3.2,0.5,400.0,-4.6622364315749865
600.0,3.2,0.5,500.0,-4.653321715940673
600.0,3.2,1.0,0.0,-6.597433243826917
600.0,3.2,1.0,100.0,-6.276053038642978
600.0,3.2,1.0,200.0,-4.770210312125287
600.0,3.2,1.0,300.0,-4.651969962283558
600.0,3.2,1.0,400.0,-4.355006875751645
600.0,3.2,1.0,500.0,-4.276497336268344
600.0,3.2,1.5,0.0,-6.276053038642978
600.0,3.2,1.5,100.0,-6.268829792884518
600.0,3.2,1.5,200.0,-4.482367418654054
600.0,3.2,1.5,300.0,-4.181912550528329
600.0,3.2,1.5,400.0,-4.101757452725338
600.0,3.2,1.5,500.0,-4.217061130023373
600.0,3.2,2.0,0.0,-6.124053258993207
600.0,3.2,2.0,100.0,-6.065976609637978
600.0,3.2,2.0,200.0,-4.247947474284585
600.0,3.2,2.0,300.0,-4.101043639590926
600.0,3.2,2.0,400.0,-4.056486431034605
600.0,3.2,2.0,500.0,-4.184324263023157
600.0,3.2,2.5,0.0,-6.061705715733236
600.0,3.2,2.5,100.0,-6.056111592781695
600.0,3.2,2.5,200.0,-4.21045580405746
600.0,3.2,2.5,300.0,-4.068676260081254
600.0,3.2,2.5,400.0,-4.023900031560017
600.0,3.2,2.5,500.0,-4.186050855144706
600.0,3.2,3.0,0.0,-6.0321216388675305
600.0,3.2,3.0,100.0,-5.630189537167415
600.0,3.2,3.0,200.0,-4.1800905766384835
600.0,3.2,3.0,300.0,-4.071122499794351
600.0,3.2,3.0,400.0,-4.079719518123648
600.0,3.2,3.0,500.0,-4.193504926134285
600.0,3.2,3.5,0.0,-6.0302093325962165
600.0,3.2,3.5,100.0,-5.639586117920781
600.0,3.2,3.5,200.0,-4.215844211539602
600.0,3.2,3.5,300.0,-4.07312214685831
600.0,3.2,3.5,400.0,-3.895974373128703
600.0,3.2,3.5,500.0,-4.039044685634125
600.0,3.2,4.0,0.0,-6.071579300794078
600.0,3.2,4.0,100.0,-5.652672897382041
600.0,3.2,4.0,200.0,-3.9858366796485534
600.0,3.2,4.0,300.0,-3.872020226191458
600.0,3.2,4.0,400.0,-3.889100624677369
600.0,3.2,4.0,500.0,-4.044769780383836
600.0,3.2,4.5,0.0,-5.714311402373689
600.0,3.2,4.5,100.0,-5.3089918773535025
600.0,3.2,4.5,200.0,-3.9702713463991524
600.0,3.2,4.5,300.0,-3.878924607952096
600.0,3.2,4.5,400.0,-3.8996428660213
600.0,3.2,4.5,500.0,-4.113785010084845
600.0,3.5,0.0,0.0,-6.661656783545121
600.0,3.5,0.0,100.0,-6.620012042228
600.0,3.5,0.0,200.0,-5.556607503038637
600.0,3.5,0.0,300.0,-5.292737377363198
600.0,3.5,0.0,400.0,-4.656728771945557
600.0,3.5,0.0,500.0,-4.65651494809143
600.0,3.5,0.5,0.0,-6.620012042228
600.0,3.5,0.5,100.0,-6.597433243826917
600.0,3.5,0.5,200.0,-4.902741124812053
600.0,3.5,0.5,300.0,-4.756994278378295
600.0,3.5,0.5,400.0,-4.62509946055977
600.0,3.5,0.5,500.0,-4.3652803200907595
600.0,3.5,1.0,0.0,-6.276053038642978
600.0,3.5,1.0,100.0,-6.276053038642978
600.0,3.5,1.0,200.0,-4.873684189213325
600.0,3.5,1.0,300.0,-4.469151384907061
600.0,3.5,1.0,400.0,-4.1623835028364224
600.0,3.5,1.0,500.0,-4.1539147139729184
600.0,3.5,1.5,0.0,-6.268829792884518
600.0,3.5,1.5,100.0,-6.124053258993207
600.0,3.5,1.5,200.0,-4.418728057173758
600.0,3.5,1.5,300.0,-4.233432818852714
600.0,3.5,1.5,400.0,-4.07640371809687
600.0,3.5,1.5,500.0,-4.11399376686614
600.0,3.5,2.0,0.0,-6.065976609637978
600.0,3.5,2.0,100.0,-6.061705715733236
600.0,3.5,2.0,200.0,-4.345608600809376
600.0,3.5,2.0,300.0,-4.193203463615985
600.0,3.5,2.0,400.0,-4.043666851096653
600.0,3.5,2.0,500.0,-4.082239312822435
600.0,3.5,2.5,0.0,-6.056111592781695
600.0,3.5,2.5,100.0,-6.0321216388675305
600.0,3.5,2.5,200.0,-4.197636224119506
600.0,3.5,2.5,300.0,-4.162168657163827
600.0,3.5,2.5,400.0,-4.044561497787319
600.0,3.5,2.5,500.0,-4.138058799386066
600.0,3.5,3.0,0.0,-6.025053845735717
600.0,3.5,3.0,100.0,-6.0302093325962165
600.0,3.5,3.0,200.0,-4.200752042865785
600.0,3.5,3.0,300.0,-4.10628052013068
600.0,3.5,3.0,400.0,-4.052068547846538
600.0,3.5,3.0,500.0,-3.9622731851827244
600.0,3.5,3.5,0.0,-6.035396213801467
600.0,3.5,3.5,100.0,-6.071579300794078
600.0,3.5,3.5,200.0,-4.203959805018809
600.0,3.5,3.5,300.0,-3.8747720566602486
600.0,3.5,3.5,400.0,-3.8888229532424714
600.0,3.5,3.5,500.0,-3.9553994367313905
600.0,3.5,4.0,0.0,-6.049730085032303
600.0,3.5,4.0,100.0,-5.714311402373689
600.0,3.5,4.0,200.0,-4.0031507008422755
600.0,3.5,4.0,300.0,-3.8722978976263556
600.0,3.5,4.0,400.0,-3.895015365019707
600.0,3.5,4.0,500.0,-4.008107553917552
600.0,3.5,4.5,0.0,-5.706049065003763
600.0,3.5,4.5,100.0,-5.706326736438662
600.0,3.5,4.5,200.0,-4.010055082602912
600.0,3.5,4.5,300.0,-3.88530253727979
600.0,3.5,4.5,400.0,-3.9822288619763127
600.0,3.5,4.5,500.0,-4.1375859686662535
600.0,3.8000000000000007,0.0,0.0,-6.620012042228
600.0,3.8000000000000007,0.0,100.0,-6.620012042228
600.0,3.8000000000000007,0.0,200.0,-5.511819047291789
600.0,3.8000000000000007,0.0,300.0,-4.756994278378295
600.0,3.8000000000000007,0.0,400.0,-4.57866337042098
600.0,3.8000000000000007,0.0,500.0,-4.620165372684515
600.0,3.8000000000000007,0.5,0.0,-6.597433243826917
600.0,3.8000000000000007,0.5,100.0,-6.276053038642978
600.0,3.8000000000000007,0.5,200.0,-4.902741124812053
600.0,3.8000000000000007,0.5,300.0,-4.727937342779567
600.0,3.8000000000000007,0.5,400.0,-4.236355297038313
600.0,3.8000000000000007,0.5,500.0,-4.165590838851474
600.0,3.8000000000000007,1.0,0.0,-6.276053038642978
600.0,3.8000000000000007,1.0,100.0,-6.268829792884518
600.0,3.8000000000000007,1.0,200.0,-4.5943381436113375
600.0,3.8000000000000007,1.0,300.0,-4.289710836214172
600.0,3.8000000000000007,1.0,400.0,-3.9878397201064786
600.0,3.8000000000000007,1.0,500.0,-4.09126255222346
600.0,3.8000000000000007,1.5,0.0,-6.130563890937992
600.0,3.8000000000000007,1.5,100.0,-6.065976609637978
600.0,3.8000000000000007,1.5,200.0,-4.366009392179169
600.0,3.8000000000000007,1.5,300.0,-4.213032027482922
600.0,3.8000000000000007,1.5,400.0,-3.9545466858372555
600.0,3.8000000000000007,1.5,500.0,-4.058525685223243
600.0,3.8000000000000007,2.0,0.0,-6.061705715733236
600.0,3.8000000000000007,2.0,100.0,-6.056111592781695
600.0,3.8000000000000007,2.0,200.0,-4.321618646895213
600.0,3.8000000000000007,2.0,300.0,-4.1831215686876355
600.0,3.8000000000000007,2.0,400.0,-3.9236440890159257
600.0,3.8000000000000007,2.0,500.0,-4.060252277344793
600.0,3.8000000000000007,2.5,0.0,-6.0321216388675305
600.0,3.8000000000000007,2.5,100.0,-6.025053845735717
600.0,3.8000000000000007,2.5,200.0,-4.3139545538177595
600.0,3.8000000000000007,2.5,300.0,-4.185567808400732
600.0,3.8000000000000007,2.5,400.0,-3.9794635755795564
600.0,3.8000000000000007,2.5,500.0,-4.069327967296497
600.0,3.8000000000000007,3.0,0.0,-6.0302093325962165
600.0,3.8000000000000007,3.0,100.0,-6.035396213801467
600.0,3.8000000000000007,3.0,200.0,-4.347072906039867
600.0,3.8000000000000007,3.0,300.0,-4.188775570553755
600.0,3.8000000000000007,3.0,400.0,-3.855415526950375
600.0,3.8000000000000007,3.0,500.0,-3.912473263591548
600.0,3.8000000000000007,3.5,0.0,-6.071579300794078
600.0,3.8000000000000007,3.5,100.0,-6.049730085032303
600.0,3.8000000000000007,3.5,200.0,-4.021849937787076
600.0,3.8000000000000007,3.5,300.0,-3.987327202688795
600.0,3.8000000000000007,3.5,400.0,-3.8817610700404215
600.0,3.8000000000000007,3.5,500.0,-3.918198358341261
600.0,3.8000000000000007,4.0,0.0,-5.714311402373689
600.0,3.8000000000000007,4.0,100.0,-5.706049065003763
600.0,3.8000000000000007,4.0,200.0,-4.019375778753183
600.0,3.8000000000000007,4.0,300.0,-3.994231584449433
600.0,3.8000000000000007,4.0,400.0,-3.8996428660213
600.0,3.8000000000000007,4.0,500.0,-4.043808147073412
600.0,3.8000000000000007,4.5,0.0,-5.706326736438662
600.0,3.8000000000000007,4.5,100.0,-5.712953446764404
600.0,3.8000000000000007,4.5,200.0,-4.032380418406618
600.0,3.8000000000000007,4.5,300.0,-4.109592501472562
600.0,3.8000000000000007,4.5,400.0,-4.021404362361293
600.0,3.8000000000000007,4.5,500.0,-4.080529939726064
600.0,4.1000000000000005,0.0,0.0,-6.620012042228
600.0,4.1000000000000005,0.0,100.0,-6.597433243826917
600.0,4.1000000000000005,0.0,200.0,-4.9588567165787
600.0,4.1000000000000005,0.0,300.0,-4.739660750653755
600.0,4.1000000000000005,0.0,400.0,-4.538039366514318
600.0,4.1000000000000005,0.0,500.0,-4.349226782373672
600.0,4.1000000000000005,0.5,0.0,-6.276053038642978
600.0,4.1000000000000005,0.5,100.0,-6.276053038642978
600.0,4.1000000000000005,0.5,200.0,-4.932748326273154
600.0,4.1000000000000005,0.5,300.0,-4.469151384907061
600.0,4.1000000000000005,0.5,400.0,-4.043297707396675
600.0,4.1000000000000005,0.5,500.0,-4.111266212267973
600.0,4.1000000000000005,1.0,0.0,-6.268829792884518
600.0,4.1000000000000005,1.0,100.0,-6.130563890937992
600.0,4.1000000000000005,1.0,200.0,-4.489204237167804
600.0,4.1000000000000005,1.0,300.0,-4.233432818852714
600.0,4.1000000000000005,1.0,400.0,-3.955714774470271
600.0,4.1000000000000005,1.0,500.0,-4.071345265161196
600.0,4.1000000000000005,1.5,0.0,-6.065976609637978
600.0,4.1000000000000005,1.5,100.0,-6.061705715733236
600.0,4.1000000000000005,1.5,200.0,-4.345608600809376
600.0,4.1000000000000005,1.5,300.0,-4.195941148625588
600.0,4.1000000000000005,1.5,400.0,-3.923347394960598
600.0,4.1000000000000005,1.5,500.0,-4.039590811117491
600.0,4.1000000000000005,2.0,0.0,-6.056111592781695
600.0,4.1000000000000005,2.0,100.0,-6.0321216388675305
600.0,4.1000000000000005,2.0,200.0,-4.30879906695726
600.0,4.1000000000000005,2.0,300.0,-4.188277055548135
600.0,4.1000000000000005,2.0,400.0,-3.924242041651264
600.0,4.1000000000000005,2.0,500.0,-4.095410297681121
600.0,4.1000000000000005,2.5,0.0,-6.030276808664365
600.0,4.1000000000000005,2.5,100.0,-6.0302093325962165
600.0,4.1000000000000005,2.5,200.0,-4.311914885703538
600.0,4.1000000000000005,2.5,300.0,-4.220725828737061
600.0,4.1000000000000005,2.5,400.0,-3.9262416887152236
600.0,4.1000000000000005,2.5,500.0,-3.9196246834777795
600.0,4.1000000000000005,3.0,0.0,-6.035396213801467
600.0,4.1000000000000005,3.0,100.0,-6.071579300794078
600.0,4.1000000000000005,3.0,200.0,-4.315122647856563
